,Final_matn,matn_length,chapter_no,chapter,level
442,لله على سلم حق غسل ايم يوم,63,11,Friday Prayer - كتاب الجمعة,سهل
443,ائذ نسء ليل سجد,39,11,Friday Prayer - كتاب الجمعة,سهل
444,مرأ شهد صلة صبح عشء جمع سجد فقل خرج علم عمر يكر يغر منع ينه منع قول منع امء سجد,223,11,Friday Prayer - كتاب الجمعة,صعب
445,عبس مؤذ يوم طير شهد حمد تقل حى صلة قل صلا بيت فكأ ناس نكر فعل خير مني جمع عزم وإن كره خرج تمش طين دحض,220,11,Friday Prayer - كتاب الجمعة,صعب
446,ناس ناب يوم جمع نزل علي فيأ غبر يصب غبر عرق خرج نهم عرق أتى انس نهم عند نبي نكم طهر ليم,229,11,Friday Prayer - كتاب الجمعة,صعب
447,ناس هنة نفس وكن راح جمع راح هيئ فقل غسل,89,11,Friday Prayer - كتاب الجمعة,صعب
448,نبي يصل جمع تمل شمس,61,11,Friday Prayer - كتاب الجمعة,سهل
449,كنا بكر جمع نقل جمع,37,11,Friday Prayer - كتاب الجمعة,صعب
450,نبي شتد برد بكر صلة شتد لحر برد صلة يعن جمع ونس بكر خلد صلة ولم ذكر جمع وقل بشر ثبت خلد امر جمع أنس نبي يصل ظهر,291,11,Friday Prayer - كتاب الجمعة,صعب
451,غبر قدم سبل حرم نار,54,11,Friday Prayer - كتاب الجمعة,صعب
452,اقم صلة أتو أتو تمش علي سكن فما ادر فصل فات أتم,107,11,Friday Prayer - كتاب الجمعة,صعب
453,تقم ترو وعل سكن,42,11,Friday Prayer - كتاب الجمعة,سهل
454,غسل يوم جمع طهر طاع طهر اده مس طيب فلم فرق صلى كتب خرج امم انص غفر بين وبين جمع خرى,175,11,Friday Prayer - كتاب الجمعة,سهل
455,نهى نبي يقم رجل اخه قعد جلس نفع جمع جمع وغر,107,11,Friday Prayer - كتاب الجمعة,سهل
456,ندء يوم جمع اول جلس امم نبر عهد نبي وأب بكر عمر فلم عثم كثر ناس زاد ندء ثلث زوراء,182,11,Friday Prayer - كتاب الجمعة,صعب
457,زاد تأذ ثلث يوم جمع عثم عفن كثر اهل دين ولم يكن نبي ؤذن تأذ يوم جمع جلس امم يعن نبر,194,11,Friday Prayer - كتاب الجمعة,صعب
458,عاي ابي سفي جلس نبر اذن ؤذن كبر كبر عاي كبر كبر شهد اله عاي وأن شهد حمد عاي وأن فلم قضى تأذ ناس جلس اذن ؤذن سمع مني قلت,359,11,Friday Prayer - كتاب الجمعة,صعب
459,سئب يزد خبر تأذ ثني يوم جمع امر عثم كثر اهل سجد تأذ يوم جمع جلس امم,129,11,Friday Prayer - كتاب الجمعة,صعب
460,اذن يوم جمع اول جلس امم يوم جمع نبر عهد وأب بكر عمر فلم خلف عثم كثر امر عثم يوم جمع اذن ثلث فأذ زوراء فثب امر,254,11,Friday Prayer - كتاب الجمعة,صعب
461,رجل اتا سهل سعد سعد متر نبر مم عود ألو ولل أعرف رأت يوم وضع وأل يوم جلس رسل فلن مرأ سما سهل مري غلم نجر عمل عود جلس علي كلم ناس أمر عمل طرفاء غبة جاء أرسل أمر وضع رأت عليها كبر عليها ركع عليها نزل قهقرى سجد اصل نبر فلم فرغ ناس ناس صنع أتم علم صلت,629,11,Friday Prayer - كتاب الجمعة,صعب
462,جذع يقم اله نبي فلم وضع نبر سمع جذع اصو عشر نزل نبي وضع يده,141,11,Friday Prayer - كتاب الجمعة,صعب
463,جاء جمع غسل,34,11,Friday Prayer - كتاب الجمعة,سهل
464,نبي خطب قائ قعد يقم,75,11,Friday Prayer - كتاب الجمعة,سهل
465,نبي جلس يوم نبر جلس حول,65,11,Friday Prayer - كتاب الجمعة,سهل
466,دخل عئش ناس يصل شأن ناس أشر رأس سمء فقل اية أشر رأس أطل جدا تجل غشى إلى جنب قرب ماء فتح جعل اصب رأس صرف تجل شمس خطب ناس حمد اهل لغط نسة صار كفأ الي لأس فقل لعش شىء اكن ارت رأت قمي جنة نار وإن اوح نكم تفت قبر قرب فتن سيح دجل ؤتى احد يقل علم بهذا رجل فأم ؤمن وقن شك هشم يقل حمد جاء بين هدى فآم أجب تبع صدق يقل نم صلح كنا علم كنت تؤم وأم نفق رتب شك هشم يقل علم بهذا رجل يقل ادر ناس يقل شيئ فقل,905,11,Friday Prayer - كتاب الجمعة,صعب
467,اتي بمل سبى قسم أعطى رجل وتر رجل بلغ عتب حمد ثنى فلل أعط رجل أدع رجل ادع احب اعط اعط اقا قلب جزع هلع أكل اقا قلب غنى خير يهم عمرو غلب فلل احب كلم حمر نعم,414,11,Friday Prayer - كتاب الجمعة,صعب
468,خرج ليل جوف ليل صلى سجد صلى رجل بصل أصبح ناس حدث جمع نهم فصل معه أصبح ناس حدث كثر اهل سجد ليل ثلث خرج فصل بصل فلم ليل ربع عجز سجد اهل خرج لصل صبح فلم قضى فجر ناس شهد فإن يخف لكن خشت فرض علي عجز,429,11,Friday Prayer - كتاب الجمعة,صعب
469,خبر عشة صلة شهد أثنى اهل,122,11,Friday Prayer - كتاب الجمعة,سهل
470,سمع شهد,69,11,Friday Prayer - كتاب الجمعة,سهل
471,صعد نبي نبر اخر جلس جلس تعطف لحف كبي عصب رأس عصب دسم حمد أثنى ناس فثب اله لحى صار يقل كثر ناس ولي شيئ امة حمد طاع يضر احد نفع احد قبل حسن جوز مسي,362,11,Friday Prayer - كتاب الجمعة,صعب
472,نبي خطب خطب قعد بين,55,11,Friday Prayer - كتاب الجمعة,سهل
473,يوم جمع وقف لئك باب سجد كتب اول لأل مثل هجر كمثل يهد بدن كلذ يهد بقر كبش دجج بيض خرج امم طوا صحف سمع ذكر,202,11,Friday Prayer - كتاب الجمعة,صعب
474,جاء رجل نبي خطب ناس يوم جمع اصل قم ركع,119,11,Friday Prayer - كتاب الجمعة,سهل
475,دخل رجل يوم جمع نبي خطب اصل فصل ركع,107,11,Friday Prayer - كتاب الجمعة,سهل
476,بين نبي خطب يوم جمع رجل هلك كرع وهل شاء فدع يسق فمد يده ودع,140,11,Friday Prayer - كتاب الجمعة,صعب
477,صبت ناس سنة عهد نبي فبي نبي خطب يوم عرب هلك مال وجع عيل فدع رفع يده نرى سمء قزع فلذ نفس بيد وضع ثار سحب مثل جبل نزل بره رأت مطر حدر لحت مطر لغد بعد لغد يله جمع خرى وقم عرب غير هدم بنء غرق مال فدع رفع يده لهم حلي علي فما يشر بيد نحي سحب فرج وصر دين جوب وسل ودي قنة شهر ولم يجئ نحي حدث جود,671,11,Friday Prayer - كتاب الجمعة,صعب
478,صحب يوم جمع انص امم خطب فقد لغت,66,11,Friday Prayer - كتاب الجمعة,صعب
479,ذكر يوم جمع سعة يفق عبد سلم قئم يصل سأل على شيئ عطه أشر بيد قلل,161,11,Friday Prayer - كتاب الجمعة,سهل
480,بين نصل نبي قبل عير حمل طعا لتف الي بقي نبي رجل نزل اية رأا جار لها نفض الي ركو قائ,212,11,Friday Prayer - كتاب الجمعة,سهل
481,يصل ظهر ركع بعد ركع بعد غرب ركع بيت بعد عشء ركع يصل جمع صرف يصل ركع,167,11,Friday Prayer - كتاب الجمعة,سهل
482,فين مرأ جعل زرع سلق فكن يوم نزع اصل سلق جعل قدر جعل قبض شعر تطح فتك اصل سلق عرق وكن صرف صلة جمع سلم عليها قرب طعم الي لعق وكن منى يوم جمع طعم,268,11,Friday Prayer - كتاب الجمعة,صعب
483,كنا بكر جمع نقل,30,11,Friday Prayer - كتاب الجمعة,صعب
484,كنا نصل نبي جمع تكون قئل,62,11,Friday Prayer - كتاب الجمعة,صعب
485,نبي يعن صلة خوف سلم عبد عمر غزت نجد فزي عدو صفف فقم يصل فقم طئف معه تصل أقبل طئف عدو ركع معه سجد سجد صرف كان طئف تصل فجء ركع ركع سجد سجد سلم فقم نهم ركع نفس ركع سجد سجد,475,12,Fear Prayer - كتاب صلاة الخوف,صعب
486,نحا قول جهد خلط قيا وزد عمر نبي كان يصل قيا ركب,134,12,Fear Prayer - كتاب صلاة الخوف,سهل
487,نبي وقم ناس معه كبر كبر معه ركع ركع ناس نهم سجد سجد معه ثني فقم سجد حرس خون وأت طئف خرى ركع سجد معه ناس كلهم صلة حرس بعض بعض,232,12,Fear Prayer - كتاب صلاة الخوف,صعب
488,جاء عمر يوم خندق جعل يسب كفر قرش يقل صلت عصر كدت شمس تغب نبي وأن ولل صلت نزل بطح وضأ صلى عصر غبت شمس غرب بعد,242,12,Fear Prayer - كتاب صلاة الخوف,صعب
489,نبي حزب يصل عصر بني قرظ أدر بعض عصر طرق بعض نصل نأت وقل بعض نصل يرد منا ذكر نبي فلم عنف وحد نهم,247,12,Fear Prayer - كتاب صلاة الخوف,صعب
490,صبح غلس ركب كبر خرب خيبر نزل بسح قوم فسء نذر خرج يسع سكك يقل حمد خمس خمس جيش ظهر علي قتل قتل سبى ذرر فصر صفة لدح كلب وصر رسل تزج جعل صدق عتق عبد عزز لثب حمد سأل انس مهر مهر نفس بسم,442,12,Fear Prayer - كتاب صلاة الخوف,صعب
491,عمر جبة برق تبع سوق أخذ أتى بتع جمل عيد وفد لبس خلق لبث عمر شاء لبث رسل اله بجب ديباج أقبل عمر أتى انك لبس خلق أرسل بهذ جبة تبع تصب حجت,503,13,The Two Festivals (Eids) - كتاب العيدين,صعب
492,دخل عند جري تغن غنء بعث ضطجع فرش وحل وجه دخل بكر نهر وقل زمر شيط نبي أقبل سلم دعه فلم غفل غمز خرج يوم عيد لعب سود درق حرب فإم سأل نبي وإم تشت نظر فقل أقم ورء خدي خده دون بني رفد للت حسب ذهب,503,13,The Two Festivals (Eids) - كتاب العيدين,صعب
493,بدأ نصل رجع نحر فعل فقد اصب سنت,85,13,The Two Festivals (Eids) - كتاب العيدين,سهل
494,دخل بكر عند جري جري صار تغن قول صار يوم بعث ولس بمغ بكر مزامير شيط بيت وذل يوم عيد بكر قوم عيد وهذا عيد,266,13,The Two Festivals (Eids) - كتاب العيدين,صعب
495,غدو يوم فطر أكل تمر وقل رجى رجء عبد انس نبي أكل وتر,160,13,The Two Festivals (Eids) - كتاب العيدين,صعب
496,ذبح صلة يعد فقم رجل يوم شهى لحم ذكر جير فكأ نبي صدق عند جذع احب شتى لحم رخص نبي ادر بلغ رخص سوه,233,13,The Two Festivals (Eids) - كتاب العيدين,صعب
497,خطب نبي يوم ضحى صلة صلت ونس نسك فقد اصب نسك نسك صلة فإن صلة نسك برد نير برء فإن نسك شتي صلة عرف يوم اكل شرب أحبب تكون شتي ذبح بيت ذبح شتي تغد اتي صلة شتك شاة لحم عند عنق جذع احب شات فجز ولن تجز بعد,483,13,The Two Festivals (Eids) - كتاب العيدين,صعب
498,خرج يوم فطر ضحى صلى فأل شىء بدأ صلة صرف يقم قبل ناس ناس جلس صفف يعظ ويص أمر يرد قطع بعث قطع أمر شىء امر صرف سعد فلم يزل ناس خرج مرو امر دين فطر فلم اتي صلى نبر بنه كثر صلت مرو يرد رقي يصل جبذ بثب جبذ رفع خطب صلة فقل غير ولل سعد علم فقل ولل خير ناس يكن جلس صلة جعل صلة,611,13,The Two Festivals (Eids) - كتاب العيدين,صعب
499,يصل ضحى فطر خطب صلة,80,13,The Two Festivals (Eids) - كتاب العيدين,سهل
500,نبي خرج يوم فطر بدأ صلة خطب أخبر عطء عبس رسل زبر بوع يكن يؤذ صلة يوم فطر خطب صلة أخبر عطء عبس وعن جبر عبد قلا يكن يؤذ يوم فطر يوم ضحى وعن جبر عبد سمع نبي بدأ صلة خطب ناس فلم فرغ نبي نزل أتى نسء ذكر وكأ يد بلل بلل بسط ثوب يلق نسء صدق عطء ترى امم يأت نسء ذكر فرغ لحق علي فعل,626,13,The Two Festivals (Eids) - كتاب العيدين,صعب
501,شهد عيد وأب بكر عمر عثم عنهم فكل كان يصل خطب,109,13,The Two Festivals (Eids) - كتاب العيدين,سهل
502,أبو بكر عمر يصل عيد خطب,89,13,The Two Festivals (Eids) - كتاب العيدين,سهل
503,نبي يوم فطر ركع يصل قبل بعد اتى نسء ومع بلل أمر صدق جعل يلق تلق رأة خرص سخب,153,13,The Two Festivals (Eids) - كتاب العيدين,صعب
504,بدأ نصل رجع نحر فعل فقد اصب سنت نحر صلة فإن لحم قدم أهل نسك شىء رجل صار يقل برد نير ذبح عند جذع خير سنة جعل كنه ولن توف تجز بعد,301,13,The Two Festivals (Eids) - كتاب العيدين,صعب
505,كنت عمر صبه سنن رمح خمص قدم لزق قدم ركب نزل نزع وذل منى بلغ حجج جعل يعد حجج علم صبك عمر اصب وكف حمل سلح يوم يكن حمل أدخل سلح حرم ولم يكن سلح دخل حرم,274,13,The Two Festivals (Eids) - كتاب العيدين,صعب
506,دخل حجج عمر وأن عند صلح صبك اصب امر حمل سلح يوم يحل حمل يعن حجج,141,13,The Two Festivals (Eids) - كتاب العيدين,صعب
507,خطب نبي يوم نحر بدأ نصل رجع نحر فعل فقد اصب سنت ذبح يصل فإن لحم عجل أهل نسك شىء فقم خلي برد نير ذبح اصل عند جذع خير سنة جعل كان ذبح ولن تجز جذع بعد,364,13,The Two Festivals (Eids) - كتاب العيدين,صعب
508,عمل ايم عشر فضل عمل قال جهد جهد رجل خرج خطر نفس ومل فلم رجع شىء,141,13,The Two Festivals (Eids) - كتاب العيدين,سهل
509,سأل انس ونح غدي منى عرف لبي كنتم صنع نبي يلب لبي نكر كبر كبر نكر,157,13,The Two Festivals (Eids) - كتاب العيدين,سهل
510,كنا ؤمر خرج يوم عيد خرج بكر خدر خرج حيض فيك ناس كبر كبر يدع دعئ يرج برك طهر,146,13,The Two Festivals (Eids) - كتاب العيدين,سهل
511,نبي ركز حرب قدم يوم فطر نحر يصل,77,13,The Two Festivals (Eids) - كتاب العيدين,صعب
512,نبي غدو صلى عنز يده حمل نصب صلى يده يصل الي,106,13,The Two Festivals (Eids) - كتاب العيدين,صعب
513,امر خرج عتق وذو خدر وعن ايب حفص نحو وزد حدث حفص عتق وذو خدر عزل حيض صلى,140,13,The Two Festivals (Eids) - كتاب العيدين,صعب
514,خرج نبي يوم فطر صلى خطب اتى نسء وعظ ذكر أمر صدق,109,13,The Two Festivals (Eids) - كتاب العيدين,سهل
515,خرج نبي يوم بقع صلى ركع علي بوج وقل نسك بدأ صلة رجع نحر فعل فقد وفق سنت ذبح فإن شىء عجل أهل نسك شىء فقم رجل ذبح عند جذع خير سنة ذبح تفي بعد,350,13,The Two Festivals (Eids) - كتاب العيدين,صعب
516,عبس قيل شهد عيد نبي ولل مكا صغر شهد اتى علم دار كثر صلت صلى خطب اتى نسء ومع بلل وعظ ذكر أمر صدق فرأ يهو بأد قذف ثوب بلل طلق بلل بيت,283,13,The Two Festivals (Eids) - كتاب العيدين,صعب
517,نبي يوم فطر صلى بدأ صلة خطب فلم فرغ نزل أتى نسء ذكر وكأ يد بلل بلل بسط ثوب يلق نسء صدق عطء زكة يوم فطر صدق صدق حينئذ تلق فتخ يلق ترى امم ذكر لحق علي علو,314,13,The Two Festivals (Eids) - كتاب العيدين,صعب
518,شهد فطر نبي وأب بكر عمر عثم عنهم صلو خطب خطب خرج نبي كأن نظر اله جلس بيد يشق جاء نسء معه بلل نبي جءك ؤمن بيع اية فرغ انت مرأ وحد نهن يجب غير يدر حسن صدق بسط بلل ثوب فدء ابي وأم يلق فتخ خواتيم ثوب بلل عبد رزق فتخ خواتيم عظم جهل,527,13,The Two Festivals (Eids) - كتاب العيدين,صعب
519,كنا منع جري خرج يوم عيد فجء مرأ نزل قصر بني فأت حدث زوج اخت غزا نبي ثنتى غزة فكن اخت معه غزو فقل فكن نقم رضى ندو كلمى فقل احد بأس يكن جلباب خرج لبس صحب جلباب شهد خير دعو ؤمن حفص فلم قدم عطة اتت سأل سمع وكذ بأب وقل ذكر نبي بأب خرج عتق ذوت خدر عتق وذو خدر شك ايب حيض عزل حيض صلى شهد خير دعو ؤمن فقل لحض الس حئض شهد عرف شهد شهد,687,13,The Two Festivals (Eids) - كتاب العيدين,صعب
520,امر خرج خرج حيض عتق وذو خدر عون عتق ذوت خدر فأم حيض شهد جمع سلم دعو عزل صلا,146,13,The Two Festivals (Eids) - كتاب العيدين,صعب
521,نبي نحر ذبح صلى,55,13,The Two Festivals (Eids) - كتاب العيدين,سهل
522,خطب يوم نحر صلة صلت ونس نسك فقد اصب نسك نسك صلة فتل شاة لحم فقم برد نير ولل نسك خرج صلة عرف يوم اكل شرب عجل أكل أطعم اهل وجر شاة لحم عند عنق جذع خير شتى لحم فهل تجز ولن تجز بعد,442,13,The Two Festivals (Eids) - كتاب العيدين,صعب
523,يوم نحر خطب أمر ذبح صلة يعد ذبح فقم رجل صار جير خصص وإم فقر وإن ذبح صلة عند عنق احب شتى لحم رخص,247,13,The Two Festivals (Eids) - كتاب العيدين,صعب
524,نبي يوم نحر خطب ذبح ذبح يصل ذبح خرى كان ذبح ذبح بسم,137,13,The Two Festivals (Eids) - كتاب العيدين,سهل
525,نبي يوم عيد خلف طرق,57,13,The Two Festivals (Eids) - كتاب العيدين,سهل
526,عئش بكر دخل عليها عند جري ايم منى دفف ضرب نبي تغش بثب نهر بكر كشف نبي وجه دعه بكر فإن ايم عيد وتل ايم ايم منى وقل عئش رأت نبي ستر وأن نظر حبش وهم لعب سجد زجر عمر نبي دعهم امن بني رفد يعن امن,435,13,The Two Festivals (Eids) - كتاب العيدين,صعب
527,نبي خرج يوم فطر صلى ركع يصل قبل بعد ومع بلل,87,13,The Two Festivals (Eids) - كتاب العيدين,سهل
528,رجل سأل صلة ليل صلة ليل ثنى ثنى خشي احد صبح ركع وحد وتر,177,14,Witr Prayer - كتاب الوتر,سهل
529,سلم ركع ركع وتر أمر بعض حجت,62,14,Witr Prayer - كتاب الوتر,سهل
530,خبر يمن وهى خلت ضطجع عرض وسد ضطجع أهل طول فنم نصف ليل قرب يقظ مسح نوم وجه قرأ ايت ال عمر شن علق وضأ أحس وضء يصل صنع ثله فقم جنب وضع يده منى رأس أخذ بأذ فتل ركع ركع ركع ركع ركع ركع وتر ضطجع جءه ؤذن فقم صلى ركع خرج صلى صبح,499,14,Witr Prayer - كتاب الوتر,صعب
531,صلة ليل ثنى ثنى ارد صرف ركع ركع وتر صلت قسم ورأ نسا ادر وتر ثلث لسع رجو يكون شىء بأس,172,14,Witr Prayer - كتاب الوتر,سهل
532,عئش خبر يصل ركع صلت تعن ليل سجد سجد قدر قرأ احد اية رفع رأس ركع ركع صلة فجر ضطجع شقه ايم أيه ؤذن صلة,246,14,Witr Prayer - كتاب الوتر,صعب
533,لبن عمر ارأ ركع صلة غدة اطل فيه قرء نبي يصل ليل ثنى ثنى وتر ركع يصل ركع صلة غدة وكأ اذن بأذ حمد سرع,206,14,Witr Prayer - كتاب الوتر,سهل
534,ليل وتر نهى وتر سحر,67,14,Witr Prayer - كتاب الوتر,سهل
535,نبي يصل وأن رقد عرض فرش ارد وتر يقظ أوتر,98,14,Witr Prayer - كتاب الوتر,سهل
536,جعل اخر صلت ليل وتر,40,14,Witr Prayer - كتاب الوتر,سهل
537,كنت اسر عبد عمر طرق مكة سعد فلم خشت صبح نزل أوتر لحق عبد عمر كنت فقل خشت صبح نزل أوتر عبد الس اسة حسن فقل ولل وتر بعر,289,14,Witr Prayer - كتاب الوتر,صعب
538,نبي يصل سفر رحل توج ومئ يمء صلة ليل فرض وتر رحل,124,14,Witr Prayer - كتاب الوتر,صعب
539,سئل انس اقن نبي صبح فقل اوق ركع ركع يسر,106,14,Witr Prayer - كتاب الوتر,صعب
540,سأل انس الك قنت قنت ركع بعد قبل فلا عنك انك ركع كذب قنت ركع شهر اره بعث قوم يقل قرء زهء رجل قوم شرك بين وبين عهد فقن شهر دعو علي,381,14,Witr Prayer - كتاب الوتر,صعب
541,قنت نبي شهر دعو رعل ذكو,56,14,Witr Prayer - كتاب الوتر,سهل
542,قنت غرب فجر,30,14,Witr Prayer - كتاب الوتر,سهل
543,قرأ نبي نجم بمك سجد سجد معه شيخ كفا حصى ترب رفع جبه وقل يكف فرأ قتل كفر,157,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,صعب
544,نبي قرأ جمع صلة فجر الم نزل سجد وهل اتى انس,108,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,صعب
545,عزم سجد رأت نبي سجد,67,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
546,نبي قرأ سور نجم سجد فما بقي قوم سجد أخذ رجل قوم كفا حصى ترب رفع وجه وقل يكف لقد رأت قتل كفر,180,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,صعب
547,نبي سجد نجم سجد معه سلم شرك ولج انس ورا طهم ايب,109,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
548,سأل زيد ثبت زعم قرأ نبي نجم فلم سجد,100,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
549,قرأ نبي نجم فلم سجد,63,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
550,رأت هرر قرأ سمء شقت سجد فقل هرر الم ارك سجد ار نبي سجد سجد,149,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
551,نبي قرأ علي سور سجد سجد سجد يجد احد وضع جبه,103,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
552,نبي قرأ سجد ونح عند سجد سجد معه زدحم يجد احد لجب وضع سجد,116,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
553,قرأ يوم جمع نبر بسر نحل جاء سجد نزل سجد سجد ناس جمع قبل قرأ جاء سجد ناس نمر سجد سجد فقد اصب سجد اثم ولم سجد عمر وزد نفع عمر فرض سجد نشء,315,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,صعب
554,صلت ابي هرر عتم قرأ سمء شقت سجد فقل سجد ابي قسم ازل سجد لقه,148,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
555,نبي قرأ سور سجد سجد سجد يجد احد مكا وضع جبه,107,17,Prostration During Recital of Qur'an - كتاب سجود القرآن,سهل
556,نبي ليل هجد لهم حمد قيم سمو ارض فيه ولك حمد ملك سمو ارض فيه ولك حمد نور سمو ارض ولك حمد لحق وعد لحق لقؤ حق وقل حق جنة حق نار حق نبي حق حمد حق سعة حق لهم سلم وبك امن وعل وكل وإل انب وبك خصم وإل حكم غفر قدم اخر سرر اعل قدم وأن ؤخر اله اله غير سفي وزد عبد كرم امة حول قوة بلل,566,19,Prayer at Night (Tahajjud) - كتاب التهجد,صعب
557,رجل حية نبي رؤا قصه فتم رؤا أقص وكن غلا شبا وكن انم سجد عهد فرأ نوم ملك اخذ ذهب نار طوة كطى بئر قرن انس عرف جعل اقل اعذ بلل نار فلق ملك اخر ترع قصص حفص فقص حفص رجل عبد يصل ليل فكان ينم ليل قلل,569,19,Prayer at Night (Tahajjud) - كتاب التهجد,صعب
558,عرة عئش خبر يصل ركع صلت سجد سجد قدر قرأ احد اية رفع رأس ركع ركع صلة فجر ضطجع شقه ايم أيه ندي صلة,261,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
559,شكى نبي فلم يقم ليل ليل,56,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
560,حبس جبريل نبي فقل مرأ قرش بطأ شيط نزل ضحى ليل سجى ودع ربك قلى,157,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
561,نزل ليل فتن نزل خزن وقظ صحب حجر رب كسي دنا عري اخر,130,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
562,طرق فطم نبي سلم ليل تصل فقل نفس شاء بعث بعث صرف قلن ولم رجع شيئ سمع مول ضرب فخذ انس شىء جدل,277,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
563,يدع عمل يحب عمل خشة عمل ناس فرض علي سبح سبح ضحى وإن أسبح,168,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
564,ليل سجد صلى بصل ناس قبل كثر ناس جمع ليل ثلث ربع فلم خرج الي فلم رأت صنع ولم منع خرج اني خشت فرض علي,282,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
565,نبي يقم يصل ترم قدم سقا يقل يقل افل اكن عبد شكر,111,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
566,احب صلة صلة دود سلم أحب صيم صيم دود ينم نصف ليل يقم ثلث ينم سدس يصم يوم فطر يوم,148,19,Prayer at Night (Tahajjud) - كتاب التهجد,سهل
567,نبي صلة شيط عرض فشد قطع صلة فأم فذع همم وثق سري صبح نظر اله ذكر قول سلم سلم رب هب لكا نبغ أحد بعد فرد خاس نضر شمل فذع ذال خنق فدع قول يوم يدع دفع صوب فدع شدد عين تاء,404,21,Actions while Praying - كتاب العمل فى الصلاة,صعب
568,كنا هوز قتل حرر فبي جرف نهر رجل يصل لجم دبت بيد جعل دبة نزع جعل تبع شعب برز سلم جعل رجل خرج لهم فعل بهذا شيخ فلم صرف شيخ قول وإن غزت غزو غزو وثم شهد يسر وإن كنت رجع دبت احب ادع رجع ألف يشق,399,21,Actions while Praying - كتاب العمل فى الصلاة,صعب
569,عئش خسف شمس فقم نبي قرأ سور طول ركع أطل رفع رأس فتح بسر خرى ركع قضا سجد فعل ثني انه ايت ايت رأي فصل فرج عنكم رأت قمي شىء وعد رأت ارد اخذ قطف جنة رأيتمو جعل قدم رأت جهنم حطم بعض بعض رأيتمو أخر ورأ عمرو لحى سيب سئب,441,21,Actions while Praying - كتاب العمل فى الصلاة,صعب
570,نبي نخم قبل سجد تغظ اهل سجد وقل احد صلت بزق نخم نزل فحت بيد وقل عمر بزق احد بزق يسر,238,21,Actions while Praying - كتاب العمل فى الصلاة,صعب
571,صلة فإن ينج ربه بزق يده يمن شمل قدم سرى,107,21,Actions while Praying - كتاب العمل فى الصلاة,سهل
572,ناس يصل نبي وهم عاقدو ازر صغر رقب فقل نسء رفع رءس سوي رجل جلس,142,21,Actions while Praying - كتاب العمل فى الصلاة,صعب
573,كنت سلم نبي صلة يرد فلم رجع سلم فلم يرد وقل صلة شغل,128,21,Actions while Praying - كتاب العمل فى الصلاة,سهل
574,ركع صلو فلم جلس فقم ناس معه فلم قضى صلت نظر سلم كبر سلم سجد سجد جلس سلم,167,22,Forgetfulness in Prayer - كتاب السهو,صعب
575,اثن ظهر جلس بين فلم قضى صلت سجد سجد سلم,121,22,Forgetfulness in Prayer - كتاب السهو,سهل
576,ظهر خمس فقل ازد صلة صلت خمس سجد سجد سلم,136,22,Forgetfulness in Prayer - كتاب السهو,سهل
577,نبي ظهر عصر سلم يدن صلة قصت نبي أصحاب احق قال صلى ركع اخر سجد سجد سعد ورأ عرة زبر غرب ركع سلم كلم بقي سجد سجد وقل فعل نبي,336,22,Forgetfulness in Prayer - كتاب السهو,صعب
578,صرف اثن يدن قصر صلة نست صدق يدن ناس فقم صلى اثن اخر سلم كبر سجد سجد اطل رفع,277,22,Forgetfulness in Prayer - كتاب السهو,صعب
579,حمد جدتى سهو شهد حدث ابي هرر,58,22,Forgetfulness in Prayer - كتاب السهو,سهل
580,نبي صلتى عشي حمد أكثر ظني عصر ركع سلم خشب قدم سجد وضع يده عليها وفي بكر عمر فهب كلم خرج ناس فقل قصر صلة رجل دعو نبي يدن سيت قصر انس ولم قصر نست صلى ركع سلم كبر سجد سجد اطل رفع رأس كبر وضع رأس كبر سجد سجد اطل رفع رأس كبر,462,22,Forgetfulness in Prayer - كتاب السهو,صعب
581,صلة ظهر وعل جلس فلم اتم صلت سجد سجد كبر سجد جلس سلم سجد ناس معه كان نسي جلس,169,22,Forgetfulness in Prayer - كتاب السهو,سهل
582,نود صلة دبر شيط وله ضرط سمع اذن قضي اذن ثوب دبر قضي ثوب خطر مرء نفس ذكر وكذ يكن ذكر يظل رجل يدر يدر احد ثلث ربع سجد سجد جلس,282,22,Forgetfulness in Prayer - كتاب السهو,صعب
